Station: G03A, Start: 2011-11-17, End: 2012-05-13, Lat: 40.0591, Lon: -126.1625, Depth: -4113.0, BH1: 154, BH2: 244
Station: G30A, Start: 2011-11-18, End: 2012-05-14, Lat: 41.9550, Lon: -128.3193, Depth: -3124.0, BH1: 140, BH2: 230
Station: J06A, Start: 2011-11-19, End: 2012-05-14, Lat: 43.2515, Lon: -128.8010, Depth: -3224.0, BH1: 225, BH2: 315
Station: J23A, Start: 2011-11-21, End: 2012-05-15, Lat: 44.8440, Lon: -129.6825, Depth: -2655.0, BH1: 114, BH2: 204
Station: J28A, Start: 2011-11-16, End: 2012-05-16, Lat: 45.0636, Lon: -127.1564, Depth: -2867.0, BH1: 206, BH2: 296
Station: J29A, Start: 2011-11-20, End: 2012-05-16, Lat: 45.1757, Lon: -128.0084, Depth: -2849.0, BH1: 74, BH2: 164
Station: J30A, Start: 2011-11-20, End: 2012-05-15, Lat: 45.4242, Lon: -128.9069, Depth: -2824.0, BH1: 69, BH2: 159
Station: J31A, Start: 2011-11-21, End: 2012-05-16, Lat: 45.5531, Lon: -129.6727, Depth: -2657.0, BH1: 5, BH2: 95
Station: J37A, Start: 2011-11-28, End: 2012-05-16, Lat: 45.8642, Lon: -127.9853, Depth: -2862.0, BH1: 264, BH2: 354
Station: J38A, Start: 2011-11-23, End: 2012-05-17, Lat: 46.0395, Lon: -128.8531, Depth: -2734.0, BH1: 101, BH2: 191
Station: J39A, Start: 2011-11-22, End: 2012-05-17, Lat: 46.1760, Lon: -129.6441, Depth: -2659.0, BH1: 323, BH2: 53
Station: J45A, Start: 2011-11-28, End: 2012-05-18, Lat: 46.5209, Lon: -127.9049, Depth: -2757.0, BH1: 12, BH2: 102
Station: J46A, Start: 2011-11-23, End: 2012-05-18, Lat: 46.6639, Lon: -128.7883, Depth: -2744.0, BH1: 254, BH2: 344
Station: J47A, Start: 2011-11-23, End: 2012-05-17, Lat: 46.8433, Lon: -129.7135, Depth: -2685.0, BH1: 247, BH2: 337
Station: J52A, Start: 2011-11-28, End: 2012-05-18, Lat: 46.9920, Lon: -127.0159, Depth: -2613.0, BH1: 253, BH2: 343
Station: J53A, Start: 2011-11-28, End: 2012-05-18, Lat: 47.1642, Lon: -127.9221, Depth: -2686.0, BH1: 149, BH2: 239
Station: J54A, Start: 2011-11-27, End: 2012-05-18, Lat: 47.3358, Lon: -128.8116, Depth: -2662.0, BH1: 27, BH2: 117
Station: J55A, Start: 2011-11-24, End: 2012-05-19, Lat: 47.5305, Lon: -129.7076, Depth: -2800.0, BH1: 211, BH2: 301
Station: J61A, Start: 2011-11-27, End: 2012-05-20, Lat: 47.8725, Lon: -128.1972, Depth: -2644.0, BH1: 257, BH2: 347
Station: J63A, Start: 2011-11-25, End: 2012-05-19, Lat: 48.2065, Lon: -130.0033, Depth: -2882.0, BH1: 165, BH2: 255
Station: J67A, Start: 2011-11-26, End: 2012-05-19, Lat: 48.1500, Lon: -127.0842, Depth: -2612.0, BH1: 138, BH2: 228
Station: J68A, Start: 2011-11-25, End: 2012-05-19, Lat: 48.4810, Lon: -127.8292, Depth: -2590.0, BH1: 158, BH2: 248
Station: FS02B, Start: 2012-09-13, End: 2013-07-03, Lat: 40.3511, Lon: -124.7980, Depth: -1402.8, BH1: 78, BH2: 168
Station: FS04B, Start: 2012-09-14, End: 2013-07-01, Lat: 40.2447, Lon: -124.5097, Depth: -159.0, BH1: 151, BH2: 241
Station: FS12B, Start: 2012-09-14, End: 2013-07-02, Lat: 40.4371, Lon: -124.5059, Depth: -60.0, BH1: 25, BH2: 115
